region,state,count
Midwest,Illinois,171163
Midwest,Indiana,86673
Midwest,Iowa,39701
Midwest,Kansas,41396
Midwest,Michigan,117294
Midwest,Minnesota,70646
Midwest,Missouri,78905
Midwest,Nebraska,26936
Midwest,North Dakota,9001
Midwest,Ohio,144841
Midwest,South Dakota,11934
Midwest,Wisconsin,70843
