region,state,count
South,Alabama,62475
South,Arkansas,39808
South,Delaware,11559
South,District of Columbia,9040
South,Florida,221394
South,Georgia,141377
South,Kentucky,57551
South,Louisiana,64973
South,Maryland,75059
South,Mississippi,42901
South,North Carolina,126845
South,Oklahoma,54553
South,South Carolina,60620
South,Tennessee,82211
South,Texas,401977
South,Viriginia,105059
South,West Virginia,21268
