region,state,count
Northeast,Connecticut,41820
Northeast,Maine,14151
Northeast,Massachusetts,77676
Northeast,New Hampshire,14378
Northeast,New Jersey,115020
Northeast,New York,250104
Northeast,Pennsylvania,149090
Northeast,Rhode Island,12372
Northeast,Vermont,6511
