region,state,count
Midwest,Illinois,180572
Midwest,Indiana,88631
Midwest,Iowa,40607
Midwest,Kansas,40968
Midwest,Michigan,127483
Midwest,Minnesota,73525
Midwest,Missouri,81385
Midwest,Nebraska,26727
Midwest,North Dakota,8621
Midwest,Ohio,150593
Midwest,South Dakota,11919
Midwest,Wisconsin,72340
